"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868
0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867
0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863
0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868
0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859
0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871
0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871
0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861
0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867
0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863
0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867
0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864
0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863
0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869
0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862
0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869
