"-2","-1","0","1"
0.951,0.951,0.951,0.951
0.951,0.951,0.951,0.951
0.953,0.953,0.953,0.953
0.95,0.95,0.95,0.951
0.953,0.953,0.953,0.953
0.952,0.952,0.952,0.952
0.951,0.951,0.951,0.951
0.952,0.952,0.952,0.952
0.953,0.953,0.953,0.953
0.953,0.953,0.953,0.953
0.951,0.951,0.951,0.951
0.953,0.953,0.953,0.953
0.953,0.953,0.953,0.953
0.953,0.953,0.953,0.953
0.951,0.951,0.951,0.951
0.954,0.954,0.954,0.954
0.951,0.951,0.951,0.951
0.954,0.954,0.954,0.954
0.947,0.947,0.947,0.947
0.953,0.953,0.953,0.953
0.955,0.955,0.955,0.955
0.949,0.949,0.949,0.949
0.952,0.952,0.952,0.952
0.95,0.95,0.95,0.95
0.951,0.951,0.951,0.951
0.952,0.952,0.952,0.952
0.954,0.954,0.954,0.954
0.952,0.952,0.952,0.952
0.951,0.951,0.951,0.951
0.954,0.954,0.954,0.954
